"","name","address","start","end","gcode","lat","long","contains"
"13","AT&T MOBILITY LLC","1100 WESTWOOD BLVD,LOS ANGELES,CA,90024","07/01/2000","06/30/2020","1100, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.060669,-118.445221,1
"14","Home Business","10560 WILSHIRE BLVD ,LOS ANGELES,CA,90024","01/01/2002","01/01/2020","10560, Wilshire Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.062387,-118.432843,0
"15","Home Business","10600 WILSHIRE BLVD ,LOS ANGELES,CA,90024","10/15/2015","09/29/2020","10600, Wilshire Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.061396,-118.433775,0
"16","Home Business","1081 WESTWOOD BLVD ,LOS ANGELES,CA,90024","05/01/2000","03/26/2020","1081, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0611762755102,-118.445221489796,0
"17","Home Business","1733 MALCOLM AVENUE ,LOS ANGELES,CA,90024","09/01/2018","08/10/2020","1733, Malcolm Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0514008063947,-118.436011880463,0
"18","710 GROUP LLC","10600 WILKINS AVENUE,LOS ANGELES,CA,90024","01/22/2015","07/15/2020","10600, Wilkins Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.056971,-118.431587,1
"19","TIPTREE LLC","907 WESTWOOD BLVD ,LOS ANGELES,CA,90024","09/01/2019","04/27/2020","907, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0631104949684,-118.445181502484,1
"20","Home Business","1619 MANNING AVENUE,LOS ANGELES,CA,90024","01/01/2018","01/04/2020","1619, Manning Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0546397142857,-118.433468857143,0
"21","Home Business","10661 WILKINS AVENUE ,LOS ANGELES,CA,90024","01/01/1997","01/03/2020","10661, Wilkins Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0566387206091,-118.43349773691,0
"22","LK REALTY, INC.","1430 S BEVERLY GLEN BLVD,LOS ANGELES,CA,90024","05/12/2017","09/15/2020","1430, South Beverly Glen Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0618943469388,-118.425675714286,1
"23","Home Business","1548 KELTON AVENUE,LOS ANGELES,CA,90024","06/05/2008","01/21/2020","1548, Kelton Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.052648969697,-118.441929060606,0
"24","Home Business","1453 WESTWOOD BLVD,LOS ANGELES,CA,90024","09/11/1979","10/01/2020","1453, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0546262244898,-118.44126322449,0
"25","Home Business","1051 GLENDON AVENUE ,LOS ANGELES,CA,90024","08/26/2015","03/17/2020","1051, Glendon Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0616614489796,-118.444336816327,0
"26","SHAMROCK SCREENVISION COM-INVEST I LLC","1100 GLENDON AVENUE ,LOS ANGELES,CA,90024","01/01/2011","02/20/2020","Westwood Center, 1100, Glendon Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0605418,-118.443495411629,1
"27","Home Business","10866 WILSHIRE BLVD ,LOS ANGELES,CA,90024","02/02/1990","02/01/2020","10866, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0591843846154,-118.442019384615,0
"28","Home Business","1725 GLENDON AVENUE ,LOS ANGELES,CA,90024","01/01/2008","02/19/2020","1725, Glendon Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0515856734694,-118.437349591837,0
"29","Home Business","10708 ASHTON AVENUE,LOS ANGELES,CA,90024","07/12/2017","05/06/2020","10708, Ashton Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0596105656442,-118.435791900243,0
"30","COLIBRIN INC","10880 WILSHIRE BLVD ,LOS ANGELES,CA,90024","06/25/2018","06/08/2020","U.S. Coast Guard - Motion Picture and Television Office, 10880, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.058617,-118.4432767,1
"31","1145 RESTAURANT LLC","1145 WESTWOOD BLVD,LOS ANGELES,CA,90024","02/21/2019","03/17/2020","1145, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0601472045685,-118.445332470182,1
"32","Home Business","10669 KINNARD AVENUE ,LOS ANGELES,CA,90024","04/01/2017","05/07/2020","10669, Kinnard Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0557721428571,-118.433297428571,0
"33","Home Business","1395 KELTON AVENUE ,LOS ANGELES,CA,90024","08/29/2016","05/23/2020","1395, Kelton Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0543905535353,-118.443676766231,0
"34","AUTOMATION SPECIALISTS LLC","1370 KELTON AVENUE ,LOS ANGELES,CA,90024","06/01/2006","06/23/2020","1370, Kelton Avenue, West Los Angeles, Los Angeles, Los Angeles County, California, 90024-3990, United States",34.0550716,-118.443748498635,1
"35","Home Business","1041 GLENDON AVENUE ,LOS ANGELES,CA,90024","06/12/2018","06/23/2020","Rite Aid, 1041, Glendon Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0624072,-118.4442778,0
"36","Home Business","1676 MANNING AVENUE ,LOS ANGELES,CA,90024","01/01/2011","03/11/2020","1676, Manning Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0537745714286,-118.432479285714,0
"37","Home Business","10747 WILSHIRE BLVD ,LOS ANGELES,CA,90024","01/01/2018","01/01/2020","10747, Wilshire Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0604867395908,-118.437773584621,0
"38","Home Business","10777 ASHTON AVENUE ,LOS ANGELES,CA,90024","08/14/2017","05/28/2020","10777, Ashton Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.059123125,-118.438533666667,0
"39","Home Business","1466 GLENDON AVENUE,LOS ANGELES,CA,90024","01/01/2017","06/12/2020","1466, Glendon Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0553927914191,-118.440405242516,0
"40","SWANSONG, INC","10990 WILSHIRE BLVD ,LOS ANGELES,CA,90024","08/01/2010","08/01/2020","KB Home, 10990, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0575914,-118.447167857437,1
"41","GAIL RITA STRAHS DDS INC","10921 WILSHIRE BLVD ,LOS ANGELES,CA,90024","10/01/1983","08/05/2020","Westwood Medical Plaza, 10921, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05886315,-118.444825522401,1
"42","Home Business","1516 WESTWOOD BLVD ,LOS ANGELES,CA,90024","01/01/2001","10/19/2020","1516, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0538699183673,-118.44036944898,0
"43","Home Business","1242 DEVON AVENUE,LOS ANGELES,CA,90024","09/01/2018","06/30/2020","1242, Devon Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0657507611292,-118.426303829041,0
"44","YOGA WORKS INC","1256 WESTWOOD BLVD,LOS ANGELES,CA,90024","04/26/2004","10/01/2020","1256, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05764496,-118.44302972,1
"45","Home Business","1516 WESTWOOD BLVD ,LOS ANGELES,CA,90024","03/16/1993","10/31/2020","1516, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0538699183673,-118.44036944898,0
"46","DANIEL MEDICAL GROUP INC","1008 BROXTON AVENUE,LOS ANGELES,CA,90024","02/01/2018","09/15/2020","1008, Broxton Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0623181979505,-118.446819485807,1
